,Session,MoA,Location,Outline Link
549,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC1001/2024-S2C-ND-CC
550,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HPSC1001/2024-S1CIFE-BM-CC
551,"Semester 1 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/HPSC1900/2024-S1C-ND-CC
552,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HPSC1000/2024-S1CIFE-BM-CC
553,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HPSC1000/2024-S1C-ND-CC
554,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY3811/2024-S2C-ND-CC
555,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY3809/2024-S2C-ND-CC
556,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY3807/2024-S2C-ND-CC
557,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY3806/2024-S1C-ND-CC
558,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY3805/2024-S1C-ND-CC
559,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY3903/2024-S1C-ND-CC
560,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY2718/2024-S2C-ND-CC
561,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY2664/2024-S1C-ND-CC
562,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY2628/2024-S2C-ND-CC
563,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY2626/2024-S2C-ND-CC
564,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/INDG1002/2024-S2C-ND-CC
565,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY1089/2024-S1C-ND-CC
566,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY1044/2024-S1C-ND-CC
567,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HSTY1003/2024-S2CIJL-BM-CC
568,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSTY1001/2024-S2C-ND-CC
569,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS3041/2024-S2C-ND-CC
570,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS3044/2024-S2C-ND-CC
571,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS3040/2024-S2C-ND-CC
572,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HSBH3021/2024-S2CIJL-BM-CC
573,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS3064/2024-S1C-ND-CC
574,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS2037/2024-S1C-ND-CC
575,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS2039/2024-S2C-ND-CC
576,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS2040/2024-S1C-ND-CC
577,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/EXSS1040/2024-S2C-ND-CC
578,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/JCTC3602/2024-S1C-ND-CC
579,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/JCTC3001/2024-S2C-ND-CC
580,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW3613/2024-S2C-ND-CC
581,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW3612/2024-S1C-ND-CC
582,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW3611/2024-S2C-ND-CC
583,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW3610/2024-S1C-ND-CC
584,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BBCL3603/2024-S1C-ND-CC
585,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BBCL2602/2024-S2C-ND-CC
586,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BBCL2601/2024-S1C-ND-CC
587,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW2604/2024-S2C-ND-CC
588,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW2603/2024-S1C-ND-CC
589,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW1102/2024-S2C-ND-CC
590,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HBRW1011/2024-S1C-ND-CC
591,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CSCD3094/2024-S2C-ND-CC
592,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CSCD3093/2024-S2C-ND-CC
593,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BIOS3166/2024-S1C-ND-CC
594,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CSCD2071/2024-S2C-ND-CC
595,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CSCD2070/2024-S2C-ND-CC
596,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BIOS2166/2024-S1C-ND-CC
597,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/CSCD1034/2024-S1C-ND-CC
598,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/BIOS1163/2024-S1C-ND-CC
599,Semester 1 2024,Online,"Camperdown/Darlington, Sydney",/units/HSBH3015/2024-S1C-OL-CC
600,Semester 2 2024,Block mode,"Camperdown/Darlington, Sydney",/units/HSBH3001/2024-S2C-BM-CC
601,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3001/2024-S1C-ND-CC
602,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3022/2024-S1C-ND-CC
603,Semester 1 2024,Online,"Camperdown/Darlington, Sydney",/units/HSBH3011/2024-S1C-OL-CC
604,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3003/2024-S2C-ND-CC
605,"Intensive July 2024
														
Departmental Permission",Professional practice,"Camperdown/Darlington, Sydney",/units/HSBH3012/2024-S2CIJL-PP-CC
606,"Intensive December 2024
														
Departmental Permission",Professional practice,"Camperdown/Darlington, Sydney",Outline unavailable
607,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3009/2024-S2C-ND-CC
608,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH3004/2024-S1C-ND-CC
609,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FMHU3002/2024-S2C-ND-CC
610,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FMHU3001/2024-S1C-ND-CC
611,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FMHU3000/2024-S2C-ND-CC
612,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH2009/2024-S2C-ND-CC
613,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FMHU2000/2024-S2C-ND-CC
614,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/FMHU2000/2024-S1C-ND-CC
615,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH1013/2024-S2C-ND-CC
616,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/HSBH1012/2024-S1C-ND-CC
617,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN3010/2024-S1C-ND-CC
618,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN3009/2024-S2C-ND-CC
619,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN3006/2024-S2C-ND-CC
620,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN3005/2024-S1C-ND-CC
621,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN2004/2024-S2C-ND-CC
622,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN2003/2024-S1C-ND-CC
623,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN1002/2024-S2C-ND-CC
624,Intensive July 2024,Block mode,"Camperdown/Darlington, Sydney",/units/GRMN1001/2024-S2CIJL-BM-CC
625,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GRMN1001/2024-S1C-ND-CC
626,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOL3888/2024-S2C-ND-CC
